developerResponse,date,review,score,userName,IOS,Name
"{'reviewId': '8b1596c2-17df-4296-a797-7f8a6a207756', 'userName': 'Rezaul Karim', 'userImage': 'https://play-lh.googleusercontent.com/a-/ALV-UjXhTiaty9GJkl4DmbQjya2ldYh5xnXWZEPQcHLRAW0TbQjGrWM_7Q', 'content': ""I sincerely appreciate the app's creator for providing it free. I can't express my gratitude to you enough for your selfless willingness to assist us parents. For your kindness and for changing both the lives of parents and children, Almighty Allah (God) will give you its best rewards. From the bottom of my heart, thank you so much. Since there are currently no other free apps without distracting advertisements, youngsters can concentrate without them. It's a great app for your kids. awesome"", 'score': 5, 'thumbsUpCount': 65, 'reviewCreatedVersion': '1.0.9', 'at': datetime.datetime(2022, 8, 23, 8, 47, 27), 'replyContent': 'Thank you for the blessings 🙏, every time we get a blessing from a parent it truly makes our day. We do it for kids all over the world so they all have access to free educational kids apps. Please support us by sharing with other parents and schools 🙂🤩. We love blessings from parents thank you.', 'repliedAt': datetime.datetime(2022, 8, 24, 3, 42, 21), 'appVersion': '1.0.9'}",2022-08-23 08:47:27,"I sincerely appreciate the app's creator for providing it free. I can't express my gratitude to you enough for your selfless willingness to assist us parents. For your kindness and for changing both the lives of parents and children, Almighty Allah (God) will give you its best rewards. From the bottom of my heart, thank you so much. Since there are currently no other free apps without distracting advertisements, youngsters can concentrate without them. It's a great app for your kids. awesome",5,Rezaul Karim,0,kids-math-games
"{'reviewId': '0c4a4e7a-0839-425f-9884-e2d918734c5b', 'userName': 'Aamiyra Muhammad', 'userImage': 'https://play-lh.googleusercontent.com/a-/ALV-UjVAKiPN3t0aeMDWCsN5oJJd6fSyhWJavwKSXu9q8CmBqWU3SXh4', 'content': ""I am so glad that I found Lucas and Friends on YouTube and now here it's fun engaging for my grandson to follow along and learn and when they say no ads they really mean it"", 'score': 5, 'thumbsUpCount': 33, 'reviewCreatedVersion': '1.3.0', 'at': datetime.datetime(2024, 6, 20, 9, 27, 34), 'replyContent': None, 'repliedAt': None, 'appVersion': '1.3.0'}",2024-06-20 09:27:34,I am so glad that I found Lucas and Friends on YouTube and now here it's fun engaging for my grandson to follow along and learn and when they say no ads they really mean it,5,Aamiyra Muhammad,0,kids-math-games
"{'reviewId': 'cff472fb-3761-4da6-af15-a0b52080ae4d', 'userName': 'sajid khan', 'userImage': 'https://play-lh.googleusercontent.com/a-/ALV-UjUYugLJYVvcfLaslu5bw3zFKFHl992X6KdGXG19zgd7rciwM4i_', 'content': 'Hi, There may be an option to set number like 30. Then all numbers comparison should be for digits between 0 to 30. And there may be an option to hide image and show only number for comparison', 'score': 4, 'thumbsUpCount': 53, 'reviewCreatedVersion': '1.0.9', 'at': datetime.datetime(2022, 9, 7, 11, 35, 16), 'replyContent': 'Thank you for your suggestions. We will try and incorporate them upcoming versions.', 'repliedAt': datetime.datetime(2022, 9, 15, 1, 21, 58), 'appVersion': '1.0.9'}",2022-09-07 11:35:16,"Hi, There may be an option to set number like 30. Then all numbers comparison should be for digits between 0 to 30. And there may be an option to hide image and show only number for comparison",4,sajid khan,0,kids-math-games
"{'reviewId': '6b356dc7-b4ae-4b13-a532-d871e3ca5898', 'userName': 'SENCIL, Brittany Biarittz', 'userImage': 'https://play-lh.googleusercontent.com/a-/ALV-UjWU22wWIEr0o01f-VUFWUTQpj1vhE54GvOzaJtu_u3ySiPL4lOv', 'content': ""My baby's favorite game apps is from lucas and friends, thank u so much for these wonderful apps..."", 'score': 5, 'thumbsUpCount': 24, 'reviewCreatedVersion': '1.3.3', 'at': datetime.datetime(2024, 8, 10, 15, 41, 37), 'replyContent': None, 'repliedAt': None, 'appVersion': '1.3.3'}",2024-08-10 15:41:37,"My baby's favorite game apps is from lucas and friends, thank u so much for these wonderful apps...",5,"SENCIL, Brittany Biarittz",0,kids-math-games
"{'reviewId': '78799cc9-ff13-4cfd-8a7e-ed35b2ee9c43', 'userName': 'Ashok Kumar', 'userImage': 'https://play-lh.googleusercontent.com/a/ACg8ocKk0Uhy3PuuhYZ6oFuj_a38_byanaJjMYYfXU-BcSncpP502A=mo', 'content': 'Great App and without adds, hatsoff to your noble thought.', 'score': 5, 'thumbsUpCount': 6, 'reviewCreatedVersion': '1.3.3', 'at': datetime.datetime(2024, 8, 25, 8, 55, 33), 'replyContent': None, 'repliedAt': None, 'appVersion': '1.3.3'}",2024-08-25 08:55:33,"Great App and without adds, hatsoff to your noble thought.",5,Ashok Kumar,0,kids-math-games
"{'reviewId': 'ff9e765e-89b4-46bb-8ccb-e19d4e593a59', 'userName': 'Sam Maurya', 'userImage': 'https://play-lh.googleusercontent.com/a/ACg8ocLIUZWK89twBE4Hei8sbooqDFugj135Q4PkKulxhZ4gSc4i7w=mo', 'content': 'In my family and in some police station we recommend this application for their children they very surprising after this type of app for their children and their parents', 'score': 5, 'thumbsUpCount': 0, 'reviewCreatedVersion': '1.3.3', 'at': datetime.datetime(2024, 10, 26, 23, 24, 43), 'replyContent': None, 'repliedAt': None, 'appVersion': '1.3.3'}",2024-10-26 23:24:43,In my family and in some police station we recommend this application for their children they very surprising after this type of app for their children and their parents,5,Sam Maurya,0,kids-math-games
"{'reviewId': 'e589d529-fee4-4007-bbf8-999747e10e27', 'userName': 'Mary Jain', 'userImage': 'https://play-lh.googleusercontent.com/a/ACg8ocKYF2jOC4Lan8I7WXJ3Bw83wlizisEzi6KhBxOsfZlfUqNQ3Q=mo', 'content': 'Is there any way to deactivate auto answer generated in the counting app? My kid just clicks on the highlighted option rather than actually counting on her own. I checked the app settings but no such option was available.', 'score': 4, 'thumbsUpCount': 92, 'reviewCreatedVersion': '1.0.1', 'at': datetime.datetime(2021, 6, 23, 0, 30, 34), 'replyContent': 'Really appreciate your suggestion. We will consider it and improve our app in the new version. If you have questions or suggestions please contact us at app_support@rvappstudios.com.', 'repliedAt': datetime.datetime(2021, 6, 24, 1, 38, 50), 'appVersion': '1.0.1'}",2021-06-23 00:30:34,Is there any way to deactivate auto answer generated in the counting app? My kid just clicks on the highlighted option rather than actually counting on her own. I checked the app settings but no such option was available.,4,Mary Jain,0,kids-math-games
"{'reviewId': '58f43e78-06cd-42e6-a632-cc74ee7381ac', 'userName': 'Pure soul', 'userImage': 'https://play-lh.googleusercontent.com/a-/ALV-UjVbCEkz_x3rvkiSMP-5zzZnMDa6A6ajSJfDB4oyTbRH95Kcw6EY', 'content': 'The is great... But is there any chance to limit the numbers the parent want to teach to his kid? Ex: if I want to teach my kid numbers from 1:10 at the beginning of learning and gradually add numbers to learn I need option like that', 'score': 5, 'thumbsUpCount': 265, 'reviewCreatedVersion': '1.0.3', 'at': datetime.datetime(2021, 10, 8, 9, 44, 21), 'replyContent': ""We've forwarded your feedback to our developers. Thank you for taking out the time to send us your suggestions!"", 'repliedAt': datetime.datetime(2021, 10, 11, 1, 57, 35), 'appVersion': '1.0.3'}",2021-10-08 09:44:21,The is great... But is there any chance to limit the numbers the parent want to teach to his kid? Ex: if I want to teach my kid numbers from 1:10 at the beginning of learning and gradually add numbers to learn I need option like that,5,Pure soul,0,kids-math-games
"{'reviewId': '923574f1-d26b-4616-b828-54e596ac52d9', 'userName': 'Priya Patel', 'userImage': 'https://play-lh.googleusercontent.com/a-/ALV-UjUFvoWdUm-qHxA8LkmRo4DzF7lBnL1hlX3XOL9qqaSwKDOQc56R', 'content': ""I like this game because it helps small kids to learn in maths if the child's are weak in maths so it's teaching us so we can teach something while playing the game we can learn something while playing game ."", 'score': 4, 'thumbsUpCount': 18, 'reviewCreatedVersion': '1.0.3', 'at': datetime.datetime(2022, 4, 15, 5, 38, 48), 'replyContent': 'We are glad you liked the app. We request you to give us a 5-star rating as it is the best encouragement for our team.', 'repliedAt': datetime.datetime(2022, 4, 18, 2, 44, 34), 'appVersion': '1.0.3'}",2022-04-15 05:38:48,I like this game because it helps small kids to learn in maths if the child's are weak in maths so it's teaching us so we can teach something while playing the game we can learn something while playing game .,4,Priya Patel,0,kids-math-games
"{'reviewId': 'cee5c75a-074f-4479-b5d3-c9014292be6a', 'userName': 'David Green', 'userImage': 'https://play-lh.googleusercontent.com/a-/ALV-UjXu2wlEP9qogkmUYaRWvv8PnS5BJ_vX5rwMihDxOx4soC0Kz0d7oA', 'content': ""My child loves this game! No ads at all, and the next best thing is noggin, which you have to pay for. Tons and tons of games. The absolute best I've found!"", 'score': 5, 'thumbsUpCount': 125, 'reviewCreatedVersion': '1.1.4', 'at': datetime.datetime(2023, 4, 27, 7, 43, 20), 'replyContent': ""Glad you like it! :) Be sure to share with friends and family, it's support from parents that has helped us reach more kids 👍🤩🙏"", 'repliedAt': datetime.datetime(2023, 4, 28, 1, 26, 14), 'appVersion': '1.1.4'}",2023-04-27 07:43:20,"My child loves this game! No ads at all, and the next best thing is noggin, which you have to pay for. Tons and tons of games. The absolute best I've found!",5,David Green,0,kids-math-games
"{'reviewId': 'ff74173d-75cb-4896-840d-64e112b065db', 'userName': 'nhlanhla mokwena', 'userImage': 'https://play-lh.googleusercontent.com/a/ACg8ocI0C97wd4FUb96d9l-2fx9mtnFMapZk1XJlgtzj-fpq-2T0n4o=mo', 'content': ""Hi.. I am struggling to download the Kids Maths app, it says app will be installed soon, Please help, my 2years old daughter loves the shape & color app, we can't wait to get the kids maths app too, I bet it is just as fantastic & also judging by reviews... Pls help"", 'score': 3, 'thumbsUpCount': 15, 'reviewCreatedVersion': None, 'at': datetime.datetime(2022, 6, 26, 20, 3, 19), 'replyContent': ""We're sorry to hear that you're having this problem! First, make sure you have a strong internet connection. Check your date and time settings. Clear the cache & data of the Play Store. If you still can’t download, restart your device. Please encourage us with a higher rating if this fixes the issue :) 🙏"", 'repliedAt': datetime.datetime(2022, 6, 28, 6, 58, 52), 'appVersion': None}",2022-06-26 20:03:19,"Hi.. I am struggling to download the Kids Maths app, it says app will be installed soon, Please help, my 2years old daughter loves the shape & color app, we can't wait to get the kids maths app too, I bet it is just as fantastic & also judging by reviews... Pls help",3,nhlanhla mokwena,0,kids-math-games
"{'reviewId': '64dcebc1-a6b6-4c09-bb7b-fda653510313', 'userName': 'Carol Mwando', 'userImage': 'https://play-lh.googleusercontent.com/a/ACg8ocKxZl4gR0oYt24cFgEwiQel8XqpcxKv4k77rMvpn5WpKiwLTQ=mo', 'content': ""It's so helpful am so loving it and my son enjoys it so much. Not only is it educative but entertaining as well. Thank you and may create more of such to help different children out there."", 'score': 5, 'thumbsUpCount': 15, 'reviewCreatedVersion': None, 'at': datetime.datetime(2022, 6, 30, 2, 15, 21), 'replyContent': 'Thank you for 5⭐. This app is free, with no ads, no in app purchases, is a passion project. Please help us by spreading the word amongst your friends.', 'repliedAt': datetime.datetime(2022, 7, 4, 6, 8, 1), 'appVersion': None}",2022-06-30 02:15:21,It's so helpful am so loving it and my son enjoys it so much. Not only is it educative but entertaining as well. Thank you and may create more of such to help different children out there.,5,Carol Mwando,0,kids-math-games
"{'reviewId': 'b6f4b58f-961b-45a8-be04-e136638e13f3', 'userName': 'Alloysious RayeJun Montemayor', 'userImage': 'https://play-lh.googleusercontent.com/a-/ALV-UjUxeqxIzO0vVy3sTElJr7e5L_2llJGU2BOrrFn8W48VDUcii0s', 'content': ""I like this app because it help's nowing my sister.... How to count, solve the math problem and to adjast the nowing number... And besides of this app... Its my favorite app to.. because even im 10 years old... I do play day and day.... Because its realy good game... And its offlins to... Because if i dont have load then i can just play whit-it... And that is why i gave it 5 star⭐ because its asome app"", 'score': 5, 'thumbsUpCount': 560, 'reviewCreatedVersion': '1.0.3', 'at': datetime.datetime(2021, 9, 23, 20, 59, 32), 'replyContent': 'We love to read from older brothers and sisters :-). Thank you for sharing why you like the app for your brother 🥰👍😀', 'repliedAt': datetime.datetime(2021, 9, 24, 8, 58, 38), 'appVersion': '1.0.3'}",2021-09-23 20:59:32,"I like this app because it help's nowing my sister.... How to count, solve the math problem and to adjast the nowing number... And besides of this app... Its my favorite app to.. because even im 10 years old... I do play day and day.... Because its realy good game... And its offlins to... Because if i dont have load then i can just play whit-it... And that is why i gave it 5 star⭐ because its asome app",5,Alloysious RayeJun Montemayor,0,kids-math-games
"{'reviewId': '33ddce2f-5203-4cab-b696-34e514c2fe29', 'userName': 'sush mita', 'userImage': 'https://play-lh.googleusercontent.com/a-/ALV-UjW0ELJhcczMsPUJaL-iEEO7uGiHqaLNWNdGObvX7BzDCAWlYvQ', 'content': 'Useful application for kids. Lucs her favourite.She love to collect stickers. ❤️', 'score': 5, 'thumbsUpCount': 36, 'reviewCreatedVersion': '1.3.1', 'at': datetime.datetime(2024, 7, 12, 4, 28, 9), 'replyContent': None, 'repliedAt': None, 'appVersion': '1.3.1'}",2024-07-12 04:28:09,Useful application for kids. Lucs her favourite.She love to collect stickers. ❤️,5,sush mita,0,kids-math-games
"{'reviewId': 'a90fd0ae-6c7b-479b-9b5c-7253dd34fd4a', 'userName': 'IlaMarie Wolusky', 'userImage': 'https://play-lh.googleusercontent.com/a-/ALV-UjV8VBnovAgepFRUoH4M0AInsz1F1OpiCGmwDdfM6-vWfBF_VlSu', 'content': ""Wow! the maker of this app does not charge for full access and there are no ads. he just wants to help make the world a better place and it's a good app. thank you Dave"", 'score': 5, 'thumbsUpCount': 0, 'reviewCreatedVersion': None, 'at': datetime.datetime(2024, 8, 2, 7, 47, 50), 'replyContent': None, 'repliedAt': None, 'appVersion': None}",2024-08-02 07:47:50,Wow! the maker of this app does not charge for full access and there are no ads. he just wants to help make the world a better place and it's a good app. thank you Dave,5,IlaMarie Wolusky,0,kids-math-games
"{'reviewId': '2e194a27-0131-46e8-ace8-2bd473c220df', 'userName': 'Nisar MOHAMED NAWFAL', 'userImage': 'https://play-lh.googleusercontent.com/a/ACg8ocJ-RrrxIrX-rUT9Loiwq-UBf_PvmurU3FfJiSd6-0HmtIjgvQ=mo', 'content': 'This is wonderful app our children now using this app and study with fun', 'score': 5, 'thumbsUpCount': 18, 'reviewCreatedVersion': '1.3.3', 'at': datetime.datetime(2024, 8, 9, 4, 49, 52), 'replyContent': None, 'repliedAt': None, 'appVersion': '1.3.3'}",2024-08-09 04:49:52,This is wonderful app our children now using this app and study with fun,5,Nisar MOHAMED NAWFAL,0,kids-math-games
"{'reviewId': '1df12bb0-ec4b-4b6f-a77e-7a449ac93466', 'userName': 'Zechariah Hernandez', 'userImage': 'https://play-lh.googleusercontent.com/a-/ALV-UjWhd4n2DT24_u1rFsztU3octZ1174SSErkDovMiWS94-ra3PeNF', 'content': ""it's really nice app .. kids will learn a lot. ."", 'score': 5, 'thumbsUpCount': 1, 'reviewCreatedVersion': '1.3.3', 'at': datetime.datetime(2024, 9, 15, 15, 40, 49), 'replyContent': None, 'repliedAt': None, 'appVersion': '1.3.3'}",2024-09-15 15:40:49,it's really nice app .. kids will learn a lot. .,5,Zechariah Hernandez,0,kids-math-games
"{'reviewId': '34410c37-be21-4a33-a53f-0582210d3c13', 'userName': 'Arvin Caturan', 'userImage': 'https://play-lh.googleusercontent.com/a-/ALV-UjW_jLPmZ17rjRVRjBdmgpPFhHCWljsKkSTVTwcLAxDthNr7G0Q', 'content': 'Thank you very much. More power and God speed.', 'score': 5, 'thumbsUpCount': 11, 'reviewCreatedVersion': '1.3.3', 'at': datetime.datetime(2024, 9, 11, 0, 49, 51), 'replyContent': None, 'repliedAt': None, 'appVersion': '1.3.3'}",2024-09-11 00:49:51,Thank you very much. More power and God speed.,5,Arvin Caturan,0,kids-math-games
"{'reviewId': '5c8a70d9-5a9c-4787-9a95-414c8769b962', 'userName': 'Jericar Junio', 'userImage': 'https://play-lh.googleusercontent.com/a/ACg8ocJ1qa-f0ItFCMulCky-vHqz_y8Khj7aFFSnFxlAzQvfC7hYKw=mo', 'content': 'Amazing!My children love it!', 'score': 5, 'thumbsUpCount': 1, 'reviewCreatedVersion': '1.3.3', 'at': datetime.datetime(2024, 8, 23, 15, 20, 57), 'replyContent': None, 'repliedAt': None, 'appVersion': '1.3.3'}",2024-08-23 15:20:57,Amazing!My children love it!,5,Jericar Junio,0,kids-math-games
"{'reviewId': 'de1aaca6-48eb-46a0-b0e8-1f0fea4afca6', 'userName': 'William Bauli', 'userImage': 'https://play-lh.googleusercontent.com/a/ACg8ocIrW4BhKp50Cts-Bzu6F_-dTqKnXC-f-gygtCDKeBiNthGv8g=mo', 'content': 'Thanks a lot for this fast response and reaction.', 'score': 5, 'thumbsUpCount': 4, 'reviewCreatedVersion': '1.3.2', 'at': datetime.datetime(2024, 7, 21, 21, 55, 9), 'replyContent': 'Sorry for the unpleasant experience you had with our app. We request you to update the app to the latest version as we have fixed the bug. Do write to us at app_support@rvappstudios.com if you still face any issue. Please encourage us with a higher rating if this fixes the issue. 🙏\n\n', 'repliedAt': datetime.datetime(2024, 7, 15, 3, 15, 59), 'appVersion': '1.3.2'}",2024-07-21 21:55:09,Thanks a lot for this fast response and reaction.,5,William Bauli,0,kids-math-games
