date,developerResponse,review,rating,isEdited,userName,title,Name,IOS
2024-05-06 15:19:37,"{'id': 44924383, 'body': 'Thank you so much :) ', 'modified': '2024-06-29T02:16:57Z'}","We have 4 kids (3, 5yo twins, and an 8yo) and each of them loves Pok Pok and plays with it in a different way / gets something different out of it. I highly recommend this app to parents everywhere. We try to be very intentional about what our kids are doing on devices, and this Pok Pok app hit all the right points for us and our kids. It truly does what it says - it empowers kids to explore and experiment. It's beautifully designed, it's calming. We've noticed our kids don't get addicted to it in the way other apps do, so it's easier for them to put it down when it's time. Our 3 year-old loves playing in the city scape mode and just clicking around to see which things were interactive - nearly everything is which is just awesome - and there were definitely some things he clicked on that made him smile or laugh. Our 5yo girl gravitates heavily to all the art stuff and she loves pretend play and the dress up / character based play. Our 5yo boy basically follows his sister's lead, but also enjoyed a couple other parts of the app I didn't see his sister playing with. And the main thing I wanted to call out with our 8 year-old is that he normally has a really difficult time putting down the iPad, but that wasn't the case with this app. He didn't have as hard of a time saying goodbye to it as he does with some of the other apps we let him use, which is just great.",5,False,WebbK,Beautifully Designed / Big Hit with my 4 kids (ages 3-8),pok-pok-montessori-preschool,1
2024-03-09 19:49:29,"{'id': 42617287, 'body': 'We are sooo happy to be reading your heartwarming message! Thank you so much for sharing your experience and we hope your daughter continues to thrive! ', 'modified': '2024-03-15T21:01:41Z'}","my daughter has been using this app for about a month and she's only on it for a few minutes before she decides she wants to go outside and play, mind you she used to get fussy with me over a phone, overall i think this app has helped my daughter a lot as she's going out more and wanting to explore and interact more and not using screen time as much, compared to her being angry most of the day for not having screen time. did i also mention she loves showing her 1 year old brother everything in app so they both play and interact with each other, but if you go to their parental thing it also has a sort of guided sheet on question you could ask your child that way us as parents could also be involved with our kids on this app. P.S i love using this app myself as it soothes and helps me de-stress at night.
also the subscription might not seem worth it but i promise it's better than paying hundreds for a child to go to an actual Montessori school if you don't have funds for it like myself.",5,False,{•o•} <3,mom trying to help other moms,pok-pok-montessori-preschool,1
2024-01-18 01:10:18,"{'id': 41188427, 'body': 'We love pleasantly surprising parents! Thank you!', 'modified': '2024-01-10T00:37:17Z'}","I’ll admit I was a little skeptical. A Montessori iPhone app? I was pretty sure those two things were mutually exclusive but I thought I’d give it a try for my 3 year old. Something new to keep him busy while I do school with his older siblings. Something that would hopefully engage the mood of our school day without disruptive and distracting explosions, car races, or painful nerve grating songs. I must say this app did not disappoint. It engages him in a way that isn’t overstimulating or disregulating and has enough content to keep him interested. I was very pleased. It did what I wanted it to do. Because the app utilizes the family share option (thank you!) it loaded on every iPad in the house and later that day I noticed my 10 year old was playing it on his iPad. I asked him if he was looking at his little brother’s new game, he said, and I quote, “Oh I thought you got that for me. I think I like it better than Roblox.” 😳 I don’t know what you guys are doing but keep it up…and maybe notify me when you have any new apps? 😉",5,True,Joyful.noise4,Excellent App,pok-pok-montessori-preschool,1
2024-02-11 20:23:53,"{'id': 42067529, 'body': 'Thank you so much for such a kind and detailed review! we absolutely aim to have low-stimulus play with gentle sounds, animations and muted colors. We are so grateful to hear that you appreciate our intentional designs! Yay!!!! :) ', 'modified': '2024-02-20T03:55:06Z'}","I found this app while searching for games that would be good for my son who has autism. When I came across this and read this it was inspired by Montessori principles, I knew we had to give it a try. I love that there are so many options within the app for my son to choose from and that it's all about exploration and figuring things out. Right now he really loves the busy book. I do too as it's a great opportunity for me to sit down with him and label the objects he is tapping on. He is largely nonverbal so any way that I can work on words with him that is fun is very welcome. He also really loves the music box. They have some really cool music to choose from, which is right up his alley. One more thing I will say is that the colors are muted which is absolutely lovely. I personally love muted colors and I think it makes it a little more relaxing instead of overwhelming. I would definitely recommend this app to any parent looking for an educational game for their child. 🙌🏼",5,False,Perfect for vacas,Wish I knew about this app sooner!,pok-pok-montessori-preschool,1
2024-04-11 15:14:02,"{'id': 43594187, 'body': 'Thank you for the kind review! We are SO happy to hear of your words :) ', 'modified': '2024-04-29T21:39:08Z'}","I got the app for my two year old as an alternative to just watching tv shows and sometimes still needing some independent play. She tends to get overstimulated and the simplicity of the app is great. Not a bunch of fast noise and excitement, just calming and fun. Highly recommend as an alternative to all those loud flashy games.

Edited to add 3 weeks later: Be careful when using this app. My kids don’t ever let me have my phone anymore. I initially got the app for my 2 year old daughter. Then my 1 year old son got it one time and enjoyed it so much as well. Then unfortunately the other day on the way to the grocery store, I handed the phone to my 9 year old son to give to his little sister… next thing you know, even my 9 year old is in love with the app. All my kids keep taking my  phone and constantly saying PokPokPokPok.  There’s just something simple and calming about it while still providing plenty of educational entertainment. Highly, HIGHLY recommend.",5,False,JBLTMama,Fun App without too much complication,pok-pok-montessori-preschool,1
2021-10-04 02:14:55,"{'id': 25550044, 'body': ""Wow, thank you so much for all of the kind words and appreciation for what we're making! It's so exciting to hear that your 4-year-old has been enjoying it so much, and that it's bringing you together in the process. We sincerely appreciate all of your thoughts and feedback! :) "", 'modified': '2021-10-07T13:41:54Z'}","The team has done a fantastic job of thinking through what -can- be done for children on a touch screen. I’ve spent hours and hours with my 4 year old collecting mail, pushing levers, spinning the globe, organizing smoothie parties, bouncing blocks on springs, and so much more. It’s thrilling to see a game that is so thoughtful about kids’ intelligence and how to portray game characters of different genders, races, and physical abilities. 

Most of the comments here focus on the subscription model. I credit the Pok Pok team for committing to their vision of a children’s play space that doesn’t turn play time into a “kiddie casino.” Let’s be candid - all those freemium games descend into the 2021 equivalent of pestering a grown up with a credit card to pony up for more lives, some digital accessory, or another level. The creators who bring to life this generation’s toy bin need to have an economic model that puts food on the table (and funds the monthly updates we’ve seen since launch!).",5,False,brain_83,Just brilliant,pok-pok-montessori-preschool,1
2024-06-09 20:46:27,"{'id': 45660920, 'body': 'Thank you so much for the eloquently-written review! Toy rotation is actually something we have talked about, so we will definitely note down your feedback! :) ', 'modified': '2024-07-31T17:57:49Z'}","I love how much there is to do in this app. Each activity has such depth to it. The art is adorable and eye catching without being overly stimulating. Here is something that I think would improve this already amazing app. While I do love how many different activities/games/""toys"" there are, I do think that our human race is vulnerable to the paradox of choice. It is easy for us to get overwhelmed when we have too many choices, and each individual choice starts to feel less special and exciting. This is why I love the concept of toy rotation: having only a few options available at one time, and periodically rotating out different options.  I would love the option to do this in the app - for the grownup to be able to choose which activities are available on the main screen, and to be able to change these out as they please. I m excited to see how Pok Pok continues to grow over time!",5,False,CinnamonBits,A Near Perfect Activity App!,pok-pok-montessori-preschool,1
2024-02-10 13:43:55,"{'id': 42267338, 'body': 'We are so happy to hear that your son loves Pok Pok! Thank you so much for sharing with us :)', 'modified': '2024-02-28T18:40:26Z'}","So glad I saw another mom recommend this on a social media post because my 5 yr old autistic son absolutely LOVES this app!!! There are so many choices within the app which gives him a sense of control, which is so helpful. It is interactive but without “wrong” choices, which is also huge for him. It has lots of different visual input but is not overstimulating, which can be rare for apps. It is also a calming and grounding tool for him to help regulate him if he’s gotten dysregulated. I like that he is able to practice some fine motor control in a fun way using a screen. I also really like that they change up the games within the app now and then to keep him engaged - because he certainly notices every tiny little tweak! To sum up, I love this app and have recommended it to all of my mom friends and even to his pediatrician for her kids and other clients! Thank you to the Pok Pok team!",5,False,EmilyBOC,Loved by neurodivergent 5 yr old (and his OT mom)!,pok-pok-montessori-preschool,1
2024-11-09 22:18:29,,"My daughter is a year and a half and we try not to give her too much time with electronics, but this game has been a lifesaver. It’s an app so you can take it with you anywhere, but you can also play with the app and explore together. When we are at a restaurant I’ll put my phone or the iPad on the table and instead of her watching a show on the iPad and adults talking, we are able to play the games with her and it’s been a really great learning experience. She’s learned so many new words since we started playing with the app because she is engaged and we talk the whole time we are playing. I never thought I would endorse an app for kids, but I really love Pok Pok and I appreciate the love and care that they put into the development. If you’re on the fence about if paying a subscription is worth it, it definitely was for me and we love it.",5,False,Drifting TARDIS,My one and a half year old loves these games,pok-pok-montessori-preschool,1
2023-07-29 05:59:26,"{'id': 38855454, 'body': 'Thank you for such kind words! This is such enlightening feedback for our team :)', 'modified': '2023-09-11T18:31:29Z'}","Pok Pok is one of my favorite apps. My 2 ½ year old likes it a lot too. I was reluctant to believe that any app could be appropriate for a kid that young, but Pok Pok has allayed my fears. I love seeing what my kid picks and how she plays with the toys, I love that it doesn’t talk to her (no ads!) or try to coax her toward trying to do anything, I love the sound design and all the little surprises that await. Most kid-oriented apps or videos are kind of annoying, but it is genuinely nice to be around Pok Pok. It’s more like a toy chest than a video game. We’ve been playing with it for a couple of months and my kid has continued to enjoy it and find new ways to play with it. It looks like it would be good for kids that are older too, with some toys that are more complex (like a sound board or a marble run) that my toddler just kind of mashes her hands around on but an older kid would probably enjoy fiddling with. In short, Pok Pok is wonderful. Enjoy it!",5,False,nornagon,Delightful,pok-pok-montessori-preschool,1
