date,review,rating,isEdited,userName,title,developerResponse,Name,IOS
2023-10-26 19:07:49,"First, I’m willing to change my review here, however, I’d like the app developer to delete the “our story” from the homepage and embed it someplace else on this app. my son used to love letter tracing on this app. But since the app developer has embedded the “our story” video on this app and all their apps homepages/s, all my son does is click on this video over and over again. I have intentionally deleted you tube from our electronic devices. He thinks he is watching a you tube video. I was actually so happy that my son was, before recently, learning his alphabet and connecting the words to everyday objects. This is a deal breaker for me, i’d rather just pay for the app then have to keep being subjected to watching this video repeatedly. It’s ruining the app experience for me. I’m very close to just deleting all the apps from our electronic devices. Which is just such a send because up until recently, I really liked and was very loyal to these apps. This is been a significant game changer, and that our son will just not stop watching this video to the point that I’ve memorized probably all of the script. Very annoying.",1,False,Rhudy26,Delete “our story”,,abc-kids-tracing-phonics,1
2020-02-22 18:05:15,"I’m pretty picky when it comes to screen time for my toddler. Here’s why this app makes the cut:
- educational - my 2 year old is quickly learning to trace letters
- no ads!!!
- full version is free, not just one or two letters
- to close out of a particular activity, the x is faded and you have to click and drag it. This helps my son stick with the activity rather than always being tempted to click the red button and get mad when the game disappears.
- requires just the right amount of accuracy - needs to be close but doesn’t have to be exactly in the lines
- fun rewards - verbal encouragement (my son quickly started saying “well done”), stickers (very exciting for a 2 year old), and presents (he doesn’t care as much about these but gets excited when it’s a ball or drum or something else he recognizes and likes)
- Parents can adjust settings to meet the needs of their child
- Activities for different ability levels - some activities are perfect for him right now, others will be perfect for him down the road

So far we’ve only tried the ABC app. Looking forward to trying the others.",5,False,LinzATP,Fantastic app for kids,,abc-kids-tracing-phonics,1
2021-07-01 02:53:36,"To the Developers: thank you for putting your heart and soul into this app. Our 2 year old starting using this app a month ago and he now can correctly pick out 70% of letters and can tell them out of order. He loves Lucas and Ruby and asks us to play with his “fwends”. The positive nature of the app is so special. He now walks around and says Good Job” “You Did It”. The positive reinforcement is really important and well done.
We happily will give him screen time with these apps. We are so grateful for the characters, colors and the add free nature. I bet his 3 year old party will be a Lucas and Ruby Party.",5,False,Cojoe44,Amazing Apps,,abc-kids-tracing-phonics,1
2023-08-30 23:09:09,"I especially like that this FREE app teaches kids the correct strokes when making the letters. As as a resource teacher for 30 years teaching  students diagnosed with reading disorders, I noticed that a lot of them didn’t make the letters correctly. Preschools don’t  teach the strokes because it’s not a requirement but in K and 1 st when the teachers show the correct strokes for each letters, the students  don’t really pay attention because they have been writing for a while and think they are making them correctly.  Just my opinion.",5,False,Celmoe,Great app! Teacher approved!,,abc-kids-tracing-phonics,1
2020-04-22 15:54:00,"This app is so amazing! I was teaching my 3 year old letters, but she’s been everting tired of it, and isn’t interested. When we used this app she instantly began to remember letters even when we weren’t on the app. Also, unlike most other apps like this, everything is available for free, and they aren’t trying to trick you into buying anything more! I have downloaded over ten apps that all would a few letter for free and ask you to pay for the rest, this app is incredible. I 100% recommend!",5,False,User987456,AMAZING,,abc-kids-tracing-phonics,1
2021-03-10 17:52:07,"This is the best tracing app I’ve used, primarily because it only lets the kid trace in the correct motion, and starts over when they do something else. I could also choose 1 or more letters to practice. Previously, the best thing is I could set the kid to practice the letter “A” and press the next arrow. After 3 tries they would earn a gift or sticker. Now the app no longer lets us go to the next - I have to back out completely and restart in between each and every try, which means the kid no longer earns a reward after 3 successful attempts. This is upsetting to the child, because I have to take the tablet to set it up, and because there is no longer a reward. With the next ability the app was amazing. Without it, the app feels broken and cumbersome.",1,False,alphabet$,"Was great, now broken",,abc-kids-tracing-phonics,1
2024-07-22 15:17:50,I absolutely love the Lucas and friends apps for our toddler! We don’t generally do screen time because we’ve found a lot of apps aren’t very educational or have in app purchases that aren’t very hard to purchase with a crazy toddler hitting buttons. Dave providing several free apps (free to download and NO ADS/IN APP PURCHASES) that are not only cute and fun but educational has been exactly what I’ve been looking for! Thank you so so much Dave!,5,False,B.eli,THE BEST!!!,,abc-kids-tracing-phonics,1
2024-09-02 20:33:38,"The only issue I have,that might just be the iPads fault, on the abc kids app 4th activity on the top row it won’t let me open it. I’ve tried flipping the screen and turning on and off the iPad but it’s not letting me open it. I can open it on my phone so it might just be my iPads fault. It’s the only activity that won’t open too. Other than that we love all your apps 🥰",5,False,MamaCook2,Love all the apps,,abc-kids-tracing-phonics,1
2022-07-25 14:23:46,"My nices are going to kindergarden/prek so I got this app and I thought it would be like all toddler games with in app purchases and tons of ads, but no! It’s has all of the games and no ads! And I thought it was nice so I got the number game and coloring game and my nices like it when the lion has a propeller on his head. I wish there was sight words option tho but overall nice game and highly recommend it",5,False,as ggs sad asc vghgdftgj,Amazing app,,abc-kids-tracing-phonics,1
2023-03-15 15:58:11,"So many apps have you dismissing  adds left and right, and you know your kid is going to end up buying something, or 2 seconds after you aren’t looking they have opened 10 random web pages from 1 ad. Thanks for keeping the actual little kids who are using it in mind.
keep up the good work.",5,False,sigho0407,Finely a straightforward easy working learning app,,abc-kids-tracing-phonics,1
2024-03-19 23:42:50,"RV Appstudios Tracing, Matching, Popping and More
by Matthew Matos

Thank you so much everyone ABC Kids is fun because I really like to play that Lucas and Friends, The ABC is a toddler babies
that everyone would like to hear. Dave said that we created the most apps in the works because that we can created the most educational app to shadow with your family. The awards have done your life and you can share everyone. Fans are the most coolest family in the world The apps that you might win in the certificate. Fans are the most of a thousand people in the world.
Worlds are most biggest fans of the world because they will teach then when they go to work.

Glad you wish to play RV Appstudios
From your RV Appstudios Kid: Matthew",5,False,Matthew Matos,RV Appstudios,,abc-kids-tracing-phonics,1
2024-09-20 19:11:41,I program for a living and I can appreciate the hard work that went into this and the many hours of work and many conversations with a rubber duck. To do it for free for the sake of children is high integrity and definitely shows an appreciation for them. To everyone who worked on this - thank you. You are all unsung heroes.,5,False,rdavis334,Great App,,abc-kids-tracing-phonics,1
2024-03-25 04:01:23,"I use this app for my little sister and my nephew and I personally think this app is worth it because its free and had no ads which is something you will not find with other apps, also they really like this app and fully engage on trying to learn their letters and numbers i give this app 5 stars",5,False,Lomadawa,Lucas and friends,,abc-kids-tracing-phonics,1
2020-03-11 13:14:41,"My daughter loves this app (and all the others- we’ve got ABC Kids, ABC Spelling, Sight Words, 123 Numbers, and Math Kids)- and I love how she learns with them! I originally had them on my tablet but it died, so I reinstalled them on my phone for her! Only one “downside”- If you could, can you work on an update so the ones with multiple languages are also available in Greek?",5,False,Ianthina,"Awesome, but more languages?",,abc-kids-tracing-phonics,1
2023-05-08 02:49:15,We have been trying to find a way to get our 4-year-old to show more interest in leaning his letters and numbers. He happily played this for quite a while. It is a slight challenge for him but not too much. He really gets excited when he gets the “gift” every several rounds.,5,False,jlangfy,Fun and educational,,abc-kids-tracing-phonics,1
2022-05-18 00:42:51,"Thank you SO much to the creators of this app. It is absolutely incredible that an educational (and fun!) app of this caliber is free. As a teacher and mom, I want to make sure that my children are engaged and encroached. This app is truly remarkable. Thanks again to all the creators and investors who made this possible. I love that you are spreading education to children for free! 🙏🏻🙏🏻🏳️‍🌈🏳️‍🌈",5,False,okikonokok,AMAZING! ✨,,abc-kids-tracing-phonics,1
2022-02-17 01:14:25,"I downloaded the app on February 15, 2022 and I played it myself and enjoyed it. On February 16, 2022 I shared it with my one year old great grandson, I showed him three different learning sessions and he enjoyed.

 On the same day I shared it with my three year old great granddaughter and she enjoyed it as well. I shared it with her mom so that she could download it for her and her five year old brother. I really am excited about this app. 

I was a Paraprofessional at a public school and worked with grades K-3, I enjoyed it but I am now retired. I will use this to help not only my great, but others that may need my assistance.

Thank You",5,False,New Beginnings8,"Mom, grandmother and great grandmother",,abc-kids-tracing-phonics,1
2021-05-26 16:15:49,Finally a baby app with no adds! We have tried so many baby games for our little guy and every single one has adds somewhere on the screen that makes him want to click. This doesn’t! I’m so happy. Thank you toys for this game. Very cute game too :),5,False,Sm_01,Finally!!,,abc-kids-tracing-phonics,1
2024-02-05 15:35:32,"Love that this developer made this app just for children to be able to learn. I love that the developer understands that not every parent has the time to help teach their children it’s this hectic,busy, world we live I . My 4 yo loves this app and I love that he’s learning while playing! Thank you!!",5,False,"Sousa, Mal",Awesome app for pre k and kindergarten age,,abc-kids-tracing-phonics,1
2020-11-12 14:28:05,"My 3 yr old LOVES this app! It’s simple enough where she can move through it on her own, there isn’t too much going on to distract her from the main point (which is letter tracing & recognition), and the best part is there are NO ads! My daughter is already spelling half her name on her own (and she has 10 letter in it lol).",5,False,Zee eclair,Simple & effective!,,abc-kids-tracing-phonics,1
2024-08-22 21:21:50,"I got this for my four year old and he loves it. He will just sit there playing. The games are fun, but educational. He is going into preschool and these games are perfect (easy to understand and super fun). I would completely recommend this for ages 3-5. Love this. Hope you download it. 😁",5,False,KKpurplegrl,AWESOME,,abc-kids-tracing-phonics,1
2024-04-17 19:55:29,I thought this was a good app until I heard the little character saying “ouch” or laughing at something and realized that there is a feature that allows you to meet the characters or something and you can poke them in the belly and make them hurt or tickle them and frankly is very creepy and has nothing to do with ABCs. I’m finding a different app. We don’t use it often anyway because I don’t want my children being on the iPad for too long.,1,False,drewglade,Used to be a good app…,,abc-kids-tracing-phonics,1
2024-06-01 00:30:27,I downloaded this on my son tablet when he was 2 years old . It had helped him tremendously ! He’s 3 years old and he’s reading and writing. You literally have to see it for yourself. I definitely recommend 🥰,5,False,Nisha5749,This app is phenomenal,,abc-kids-tracing-phonics,1
2023-01-25 02:53:03,"My child started reading and making words at 3 years old. At the same time he could multiply add and subtract. I promise you their Apps are the BEST!

Please if we can learn to appreciate all the effort the developers put in. It’s free of charge, NO Ads, it’s very much appropriate! It doesn’t have inappropriate WORDS, their Apps doesn’t collect your data like all other apps who sell your info. 

it doesn’t NOT talk about SEX. This developer’s apps are safe.

May you be blessed RV AppStudios LLC for all you do for our children. Thank you 🙏🏽",5,False,His mercy runs deep,The Best free Kids App,,abc-kids-tracing-phonics,1
2020-05-03 22:49:10,"This app is amazing! I looked at other apps but they had  ads or only 2 letters. This app is amazing! Within a week, my 2 year old learned most of his letters and new words! I love this app and I definitely recommend it to anyone looking for an educational app. 👍🏻👍🏻",5,False,game reviewer 🕹,AMAZNG APP! DEFINITELY RECOMMEND,,abc-kids-tracing-phonics,1
